Normalised,Name,Role,Label
aaron o sullivan,Aaron O'Sullivan,Councillor,Cork City Council
adam wyse,Adam Wyse,Councillor,Waterford and City Council
adge king,Adge King,Director of Services or Equivalent,Monaghan County Council
adrian conway,Adrian Conway,Director of Services or Equivalent,Dublin City Council
adrian henchy,Adrian Henchy,Councillor,Fingal County Council
adrian o neill,Adrian O'Neill,Second Secretary General,Department of Foreign Affairs and Trade
aengus o rourke,Aengus O'Rourke,Councillor,Westmeath County Council
aengus o snodaigh,Aengus Ó Snodaigh,TD,"Dáil Éireann, the Lower House of the Oireachtas"
aidan campbell,Aidan Campbell,Councillor,Monaghan County Council
aidan carrigan,Aidan Carrigan,Assistant Secretary,Department of Finance
aidan davitt,Aidan Davitt,Councillor,Westmeath County Council
aidan donohue,Aidan Donohue,Councillor,Galway County Council
aidan farrell,Aidan Farrell,CEO,State Examinations Commission
aidan fennessy,Aidan Fennessy,Head of Unit,Tipperary County Council
aidan mullins,Aidan Mullins,Councillor,Laois County Council
aidan o driscoll,Aidan O'Driscoll,Secretary General,Department of Agriculture
aideen hayden,Aideen Hayden,Senator,Seanad
aindrias moynihan,Aindrias Moynihan,Councillor,Cork County Council
aine clancy,Aine Clancy,Councillor,Dublin City Council
aine collins,Áine Collins,TD,"Dáil Éireann, the Oireachtas"
aine kilroy,Aine Kilroy,Special Adviser,"Department of Housing, Planning and Local Government"
aisling dunne,Aisling Dunne,Adviser to Minister,"Department of Transport, Tourism and Sport"
alan anthony cassidy,Alan Anthony Cassidy,Councillor,Louth County council
alan cantwell,Alan Cantwell,Adviser to Minister,"Department of Jobs, Enterprise and Innovation"
alan coleman,Alan Coleman,Councillor,Cork County Council
alan farrell,Alan Farrell,TD,"Dáil Éireann, the Oireachtas"
alan kelly,Alan Kelly,Minister,"Department of Environment, Community and Local Government"
alan o callaghan,Alan O'Callaghan,Councillor,Clare County Council
alan shatter,Alan Shatter,TD,"Dáil Éireann, the Oireachtas"
alan tobin,Alan Tobin,Councillor,Meath County Council
alan wall,Alan Wall,Assistant Secretary,Department of Education and Skills
albert doherty,Albert Doherty,Councillor,Donegal County Council
alex white,Alex White,Minister,"Department of Communications, Energy and Natural Resources"
alice-mary higgins,Alice-Mary Higgins,Senator,Seanad
ali grehan,Ali Grehan,Director of Services or Equivalent,Dublin City Council
alison gilliland,Alison Gilliland,Councillor,Dublin City Council
al mcdonnell,Al McDonnell,Councillor,Mayo County Council
andrea feeney,Andrea Feeney,Director of Operations,The State Examinations Commission
andrew doyle,Andrew Doyle,Minister,"Department of Agriculture, Food and the Marine"
andrew duncan,Andrew Duncan,Councillor,Westmeath County Council
