"Id","Name","Address","County","Country","Phone","Website","Activities","PersonResponsibleName","PersonResponsibleEmail","PersonResponsibleTelephone","Email","CompanyRegistrationNumber","CompanyRegisteredName","CompanyRegisteredAddress","CharityRegulationNumber","CHYNumber"
"578","3Ts (Turn the Tide of Suicide)","3 Arkle Road,, Sandyford, Dublin, 18, Dublin","Dublin","Ireland","012139905","www.3ts.ie","Other (Non Profit Reg Charity: Mental Health & Suicide)","Noel Smyth","info@3ts.ie","012139905",,"371490","3T'S LIMITED","3 Arkle Road Sandyford Dublin 18 ","20054878","15710"
"729","A&L Goodbody","IFSC, North Wall Quay, Dublin 1, Dublin","Dublin","Ireland","01 6492000","www.algoodbody.com","Other (Solicitors)","Peter Law","plaw@algoodbody.com","01 6492437",,,,,,
"1554","Abbey Theatre","26/27 Lower Abbey Street, Dublin, 1, Dublin","Dublin","Ireland","8872203","www.abbeytheatre.ie","Other (Theatre)","Declan Cantwell","declan.cantwell@abbeytheatre.ie","8872203",,,"Abbey Theatre Amharclann na Mainistreach","26/27 Lower Abbey Street, Dublin 1","CHY12923","CHY12923"
"1555","Abbott","Block B, Liffey Valley Office Campus, Quarryvale, Dublin 22, D22 XOY3, Dublin","Dublin","Ireland","014691561",,"Health","Michael Barry","michael.j.barry@abbott.com","014691596",,"11542","ABBOTT LABORATORIES, IRELAND, LIMITED","BLOCK B LIFFEY VALLEY OFFICE CAMPUS QUARRYVALE DUBLIN 22",,
"517","Abbvie Limited","14 Riverwalk,, Citywest Business Campus,, Dublin 24, D24 XN32, Dublin","Dublin","Ireland","01-4287900",,"Health","Paula Guerin","paula.guerin@abbvie.com","087 6059767",,"510846","ABBVIE LIMITED","70 SIR JOHN ROGERSON'S QUAY DUBLIN 2  ",,
"541","Ability West","Blackrock House, Salthill, Galway, Galway","Galway","Ireland","091 540900","www.abilitywest.ie","Other (Service Provider to People with Disability)","Breda Crehan-Roche","breda.crehan-roche@abilitywest.ie","091 540900",,,"Ability West","Blackrock House, Salthill, Galway","20011161","6306"
"1441","ABO Wind Ireland Limited","Unit 4, Aspen Court, Cornelscourt, 18, Dublin","Dublin","Ireland","012070452","www.abowind.com","Energy & Natural Resources","Emmet Egan","emmet.egan@abo-wind.com","012070452",,,,,,
"754","ABP Foods","14 Castle Street, Ardee, Louth","Louth","Ireland","041 685 0200","www.abpfoodgroup.com","Agribusiness","seamus banim","seamus.banim@abpfoodgroup.com","041 6850200",,"214256","ABP FOODS","14, CASTLE STREET, ARDEE, CO. LOUTH. ",,
"1368","ABTA Ltd","Park Street, Southwark, se19eq",,"United Kingdom","07545431201","www.abta.com","Industry body","Luke Petherbridge","lpetherbridge@abta.co.uk","07545431201",,,,,,
"1526","Academy of Clinical of Clinical Science and Laboratory Medicine","31, Old Kilmainham, Dublin 8, Dublin, Dublin","Dublin","Ireland","01 9059730","www.acslm.ie","Health","Dr. Irene Regan","president@acslm.ie","01 9059730",,"58271","THE ACADEMY OF CLINICAL SCIENCE AND LABORATORY MEDICINE","31 OLD KILMAINHAM DUBLIN 8  ",,"CHY 7400"
"62","ACCA Ireland","9 Leeson Park, Dublin 6, Dublin, N/A, Dublin","Dublin","Ireland","014988904","www.accaglobal.com","Industry body","Liz Hughes","liz.hughes@accaglobal.com","014988906",,,"ACCA Ireland","9 Leeson Park, Dublin 6",,
"982","Accenture PLC","1 Grand Canal Square, Grand Canal Harbour, Dublin, Dublin 2",,"Ireland","01-6462000","www.accenture.com","Other (Professional Services)","Barbara Wynne","barbara.wynne@accenture.com","+3222216644",,"471706","ACCENTURE PUBLIC LIMITED COMPANY","1 GRAND CANAL SQUARE GRAND CANAL HARBOUR DUBLIN 2 ",,
"1564","Accessible Community Transport Southside","Unit 1 ,Ballyogan Business Park,, Ballyogan Road, Dublin 18",,"Ireland","0876604356",,"Health","Michael Fox","michaeljfox@eircom.net","0876604356",,,"Accessible Community Transport Southside","Unit 1, Ballyogan Business Park, Ballyogan Road, Dublin 18","14990","14990"
"1138","Accounting Technicians Ireland","47/49 Pearse Street, Dublin, 2, Dublin","Dublin","Ireland","+35316498100","www.accountingtechniciansireland.ie","Other (Educational)","Gillian Doherty","gdoherty@accountingtechniciansireland.ie","0867929191",,"100175","THE INSTITUTE OF ACCOUNTING TECHNICIANS IN IRELAND LIMITED","47-49, PEARSE STREET, DUBLIN 2.  ","CHY6846","6846"
"2016","Accreate","Connaught House, 1 Burlington road, Dublin 4, D04 C5Y6, Dublin","Dublin","Ireland","0863174896","www.accreate.com","Other (Executive Search Firm)","Lorraine Bolger","lbolger@accreate.com","0863174896",,,,"1 Burlington Road",,
"1203","Achill Tourism","Davitt Quarter, Achill Sound, Achill Sound, Mayo","Mayo","Ireland","09820400","www.achilltourism.com","Other (Tourism)","Sean Molloy","manager@achilltourism.com","0861790967",,"295858","TURASOIREACHT ACLA TEORANTA","DAVITT QUARTER ACHILL SOUND ACHILL CO. MAYO",,
"815","Acquired Brain Injury Ireland","64 Mulgrave Street, Dun Laoghaire, Dublin","Dublin","Ireland","012804164","www.abiireland.ie","Health","Grainne McGettrick","gmcgettrick@abiireland.ie","012804164",,,"Peter Bradley Foudation","43 Northumberland Ave., Dun Laoghaire, Co. Dublin","CHY14289","CHY14289"
